,longitude,latitude,month,light,severity,participants,injured,dead,grid_square,safe
25036,37.740955,55.657259,06,0,1,2,1,0,"37.740955,55.657259",0
25037,37.5199,55.684,02,0,0,3,1,0,"37.5199,55.684",0
25038,37.341725,55.646696,07,1,1,2,1,0,"37.341725,55.646696",0
25039,37.500072,55.797397,05,0,0,3,1,0,"37.500072,55.797397",0
25040,37.403587,55.842753,05,0,1,1,1,0,"37.403587,55.842753",0
25041,37.7432,55.756774,05,0,0,2,1,0,"37.7432,55.756774",0
25042,37.800263,55.810061,06,0,1,2,1,0,"37.800263,55.810061",0
25043,37.711344,55.71552,06,0,0,2,1,0,"37.711344,55.71552",0
25044,37.694233,55.617357,06,0,0,2,1,0,"37.694233,55.617357",0
25045,37.57925,55.707923,06,0,0,3,1,0,"37.57925,55.707923",0
25046,37.611877,55.616177,05,0,1,4,2,0,"37.611877,55.616177",0
25047,37.5775,55.8974,10,1,1,2,1,0,"37.5775,55.8974",0
25048,37.384244,55.435843,10,1,0,3,2,0,"37.384244,55.435843",0
25049,37.519094,55.901869,06,0,1,2,2,0,"37.519094,55.901869",0
25050,37.7611,55.7419,04,0,0,2,1,0,"37.7611,55.7419",0
25051,37.757542,55.823043,04,0,0,3,1,0,"37.757542,55.823043",0
25052,37.470889,55.783753,06,0,0,2,1,0,"37.470889,55.783753",0
25053,37.636887,55.874356,10,0,0,2,1,0,"37.636887,55.874356",0
25054,37.619671,55.732763,02,0,0,2,1,0,"37.619671,55.732763",0
25055,37.763379,55.826805,03,1,0,3,2,0,"37.763379,55.826805",0
25056,37.603197,55.752906,06,0,0,2,1,0,"37.603197,55.752906",0
25057,37.511991,55.679623,09,1,0,2,1,0,"37.511991,55.679623",0
25058,37.393019,55.850758,06,0,0,3,1,0,"37.393019,55.850758",0
25059,37.355618,55.604693,06,0,0,2,1,0,"37.355618,55.604693",0
25060,37.586063,55.872283,09,0,1,3,2,0,"37.586063,55.872283",0
25061,37.465922,55.641652,10,1,2,2,0,2,"37.465922,55.641652",0
