longitude,latitude,month,light,severity,participants,injured,dead,grid_square,safe
37.544146,55.761304,12,1,0,2,1,0,"37.544146,55.761304",0
37.543995,55.771963,9,1,0,4,1,0,"37.543995,55.771963",0
37.543362,55.791125,7,0,0,2,1,0,"37.543362,55.791125",0
37.543942,55.795069,5,0,0,2,1,0,"37.543942,55.795069",0
37.54303,55.79604,12,1,0,2,1,0,"37.54303,55.79604",0
37.544167,55.801607,9,0,0,2,1,0,"37.544167,55.801607",0
37.545068,55.748329,12,1,0,2,1,0,"37.545068,55.748329",0
37.5441,55.7574,1,0,0,4,1,0,"37.5441,55.7574",0
37.543802,55.759143,12,1,0,2,1,0,"37.543802,55.759143",0
37.5442,55.7611,4,1,0,2,1,0,"37.5442,55.7611",0
37.5444,55.7617,12,0,0,2,1,0,"37.5444,55.7617",0
37.544864,55.763054,10,0,0,2,1,0,"37.544864,55.763054",0
37.544307,55.765348,12,0,0,3,1,0,"37.544307,55.765348",0
37.543824,55.771782,12,0,0,2,1,0,"37.543824,55.771782",0
37.544188,55.773652,4,0,0,2,1,0,"37.544188,55.773652",0
37.544961,55.79221,9,0,0,2,1,0,"37.544961,55.79221",0
37.544822,55.794593,3,0,0,5,1,0,"37.544822,55.794593",0
37.5445,55.794804,10,0,0,4,2,0,"37.5445,55.794804",0
37.545004,55.803277,9,0,0,2,1,0,"37.545004,55.803277",0
37.544371,55.805544,3,0,1,2,1,0,"37.544371,55.805544",0
37.546463,55.748758,1,1,0,1,1,0,"37.546463,55.748758",0
37.546146,55.753683,9,0,1,2,1,0,"37.546146,55.753683",0
37.54642,55.757428,11,1,0,2,1,0,"37.54642,55.757428",0
37.5458,55.7603,9,0,0,2,1,0,"37.5458,55.7603",0
37.54554,55.765185,9,0,0,3,1,0,"37.54554,55.765185",0
37.545176,55.765414,9,0,0,2,1,0,"37.545176,55.765414",0
